Art.;Conteudo
37;Art. 37 . A administração pública direta e indireta de qualquer dos Poderes da União, dos Es- tados, do Distrito Federal e dos Municípios obedecerá aos princípios de legalidade, impessoa- lidade, moralidade, publicidade e eficiência e, também, ao seguinte (Caput do artigo com redação dada pela EC nº 19, de 1998) - os cargos, empregos e funções públicas são acessíveis aos brasileiros que preencham os requisitos estabelecidos em lei, assim como aos estrangeiros, na forma da lei, (Inciso com redação dada pela EC nº 19, de 1998) Il - a investidura em cargo ou emprego público depende de aprovação prévia em concurso público de provas ou de provas e títulos, de acordo com a natureza e a complexidade do cargo ou emprego, na forma prevista em lei, ressalvadas as nomeações para cargo em comissão declarado em lei de livre nomeação e exoneração, (Inciso com redação dada pela EC nº 19, de 1998) IIl- o prazo de validade do concurso público será de até dois anos, prorrogável uma vez, por igual período, IV - durante o prazo improrrogável previsto no edital de convocação, aquele aprovado em concurso público de provas ou de provas e títulos será convocado com prioridade sobre novos concursados para assumir cargo ou emprego, na carreira, V - as funções de confiança, exercidas exclusivamente por servidores ocupantes de cargo efetivo, e os cargos em comissão, a serem preenchidos por servidores de carreira nos casos, condições e percentuais mínimos previstos em lei, destinam-se apenas às atribuições de dire- ção, chefia e assessoramento, (Inciso com redação dada pela EC nº 19, de 1998) VI - é garantido ao servidor público civil o direito à livre associação sindical, VIl- o direito de greve será exercido nos termos e nos limites definidos em lei específica, (Inciso com redação dada pela EC nº 19, de 1998) VIII - a lei reservará percentual dos cargos e empregos públicos para as pessoas portadoras de deficiência e definirá os critérios de sua admissão, IX - a lei estabelecerá os casos de contratação por tempo determinado para atender a ne- cessidade temporária de excepcional interesse público, X - a remuneração dos servidores públicos e o subsídio de que trata o 8 4º do art. 39 so- mente poderão ser fixados ou alterados por lei específica, observada a iniciativa privativa em cada caso, assegurada revisão geral anual, sempre na mesma data e sem distinção de índices, (Inciso com redação dada pela EC nº 19, de 1998) XI - a remuneração e o subsídio dos ocupantes de cargos, funções e empregos públicos da administração direta, autárquica e fundacional, dos membros de qualquer dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios, dos detentores de mandato eletivo e dos demais agentes políticos e os proventos, pensões ou outra espécie remuneratória, per- cebidos cumulativamente ou não, incluídas as vantagens pessoais ou de qualquer outra natu- reza, não poderão exceder o subsídio mensal, em espécie, dos Ministros do Supremo Tribunal Federal, aplicando-se como limite, nos Municípios, o subsídio do Prefeito, e nos Estados e no Distrito Federal, o subsídio mensal do Governador no âmbito do Poder Executivo, o subsídio dos Deputados Estaduais e Distritais no âmbito do Poder Legislativo e o subsídio dos Desem- bargadores do Tribunal de Justiça, limitado a noventa inteiros e vinte e cinco centésimos por cento do subsídio mensal, em espécie, dos Ministros do Supremo Tribunal Federal, no âmbito do Poder Judiciário, aplicável este limite aos membros do Ministério Público, aos Procuradores e aos Defensores Públicos, (Inciso com redação dada pela EC nº 41, de 2003) 31 32 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL XII - os vencimentos dos cargos do Poder Legislativo e do Poder Judiciário não poderão ser superiores aos pagos pelo Poder Executivo, XIII — é vedada a vinculação ou equiparação de quaisquer espécies remuneratórias para o efeito de remuneração de pessoal do serviço público, (Inciso com redação dada pela EC nº 19, de 1998) XIV - os acréscimos pecuniários percebidos por servidor público não serão computados nem acumulados para fins de concessão de acréscimos ulteriores, (Inciso com redação dada pela EC nº 19, de 1998) XV - o subsídio e os vencimentos dos ocupantes de cargos e empregos públicos são irredu- tíveis, ressalvado o disposto nos incisos XI e XIV deste artigo e nos arts. 39, § 4º, 150, II, 153, Ill, e 153,8 2º, l, (Inciso com redação dada pela EC nº 19, de 1998) XVI - é vedada a acumulação remunerada de cargos públicos, exceto, quando houver compatibilidade de horários, observado em qualquer caso o disposto no inciso XI (Caput do inciso com redação dada pela EC nº 19, de 1998) a) a de dois cargos de professor, b) a de um cargo de professor com outro, técnico ou científico, c) a de dois cargos ou empregos privativos de profissionais de saúde, com profissões regu- lamentadas, (Alínea com redação dada pela EC nº 34, de 2001) XVII - a proibição de acumular estende-se a empregos e funções e abrange autarquias, fundações, empresas públicas, sociedades de economia mista, suas subsidiárias, e sociedades controladas, direta ou indiretamente, pelo poder público, (Inciso com redação dada pela EC nº 19, de 1998) XVIII - a administração fazendária e seus servidores fiscais terão, dentro de suas áreas de competência e jurisdição, precedência sobre os demais setores administrativos, na forma da lei, XIX - somente por lei específica poderá ser criada autarquia e autorizada a instituição de empresa pública, de sociedade de economia mista e de fundação, cabendo à lei complementar, neste último caso, definir as áreas de sua atuação, (Inciso com redação dada pela EC nº 19, de 1998) XX - depende de autorização legislativa, em cada caso, a criação de subsidiárias das entida- des mencionadas no inciso anterior, assim como a participação de qualquer delas em empresa privada, XXI - ressalvados os casos especificados na legislação, as obras, serviços, compras e alie- nações serão contratados mediante processo de licitação pública que assegure igualdade de condições a todos os concorrentes, com cláusulas que estabeleçam obrigações de pagamento, mantidas as condições efetivas da proposta, nos termos da lei, o qual somente permitirá as exigências de qualificação técnica e econômica indispensáveis à garantia do cumprimento das obrigações, XXII — as administrações tributárias da União, dos Estados, do Distrito Federal e dos Municípios, atividades essenciais ao funcionamento do Estado, exercidas por servidores de carreiras específicas, terão recursos prioritários para a realização de suas atividades e atuarão de forma integrada, inclusive com o compartilhamento de cadastros e de informações fiscais, na forma da lei ou convênio. (Inciso acrescido pela EC nº 42, de 2003) 8 1º A publicidade dos atos, programas, obras, serviços e campanhas dos órgãos públicos deverá ter caráter educativo, informativo ou de orientação social, dela não podendo constar nomes, símbolos ou imagens que caracterizem promoção pessoal de autoridades ou servidores públicos. § 2º Anão observância do disposto nos incisos Ile III implicará a nulidade do ato e a punição da autoridade responsável, nos termos da lei. § 3º A lei disciplinará as formas de participação do usuário na administração pública direta e indireta, regulando especialmente ART. 37 33 - as reclamações relativas à prestação dos serviços públicos em geral, asseguradas a ma- nutenção de serviços de atendimento ao usuário e a avaliação periódica, externa e interna, da qualidade dos serviços, Il - o acesso dos usuários a registros administrativos e a informações sobre atos de governo, observado o disposto no art. 5º, X e XXXIII, Ill — a disciplina da representação contra o exercício negligente ou abusivo de cargo, em- prego ou função na administração pública. (Parágrafo com redação dada pela EC nº 19, de 1998) § 4º Os atos de improbidade administrativa importarão a suspensão dos direitos políticos, a perda da função pública, a indisponibilidade dos bens e o ressarcimento ao erário, na forma e gradação previstas em lei, sem prejuízo da ação penal cabível. § 5º A lei estabelecerá os prazos de prescrição para ilícitos praticados por qualquer agente, servidor ou não, que causem prejuízos ao erário, ressalvadas as respectivas ações de ressarci- mento. 8 6º As pessoas jurídicas de direito público e as de direito privado prestadoras de ser- viços públicos responderão pelos danos que seus agentes, nessa qualidade, causarem a terceiros, assegurado o direito de regresso contra o responsável nos casos de dolo ou culpa. 8 7º A lei disporá sobre os requisitos e as restrições ao ocupante de cargo ou emprego da administração direta e indireta que possibilite o acesso a informações privilegiadas. (Parágrafo acrescido pela EC nº 19, de 1998) 5 8º A autonomia gerencial, orçamentária e financeira dos órgãos e entidades da admi- nistração direta e indireta poderá ser ampliada mediante contrato, a ser firmado entre seus administradores e o poder público, que tenha por objeto a fixação de metas de desempenho para o órgão ou entidade, cabendo à lei dispor sobre l- o prazo de duração do contrato, Il- os controles e critérios de avaliação de desempenho, direitos, obrigações e responsabi- lidade dos dirigentes, Ill - a remuneração do pessoal. (Parágrafo acrescido pela EC nº 19, de 1998) 8 9º O disposto no inciso XI aplica-se às empresas públicas e às sociedades de economia mista, e suas subsidiárias, que receberem recursos da União, dos Estados, do Distrito Federal ou dos Municípios para pagamento de despesas de pessoal ou de custeio em geral. (Parágrafo acrescido pela EC nº 19, de 1998) § 10. É vedada a percepção simultânea de proventos de aposentadoria decorrentes do art. 40 ou dos arts. 42 e 142 com a remuneração de cargo, emprego ou função pública, ressal- vados os cargos acumuláveis na forma desta Constituição, os cargos eletivos e os cargos em comissão declarados em lei de livre nomeação e exoneração. (Parágrafo acrescido pela EC nº 20, de 1998) 8 11. Não serão computadas, para efeito dos limites remuneratórios de que trata o inciso XI do caput deste artigo, as parcelas de caráter indenizatório previstas em lei. (Parágrafo acrescido pela EC nº 47, de 2005) § 12. Para os fins do disposto no inciso XI do caput deste artigo, fica facultado aos Estados e ao Distrito Federal fixar, em seu âmbito, mediante emenda às respectivas Constituições e Lei Orgânica, como limite único, o subsídio mensal dos Desembargadores do respectivo Tribunal de Justiça, limitado a noventa inteiros e vinte e cinco centésimos por cento do subsídio men- sal dos Ministros do Supremo Tribunal Federal, não se aplicando o disposto neste parágrafo aos subsídios dos Deputados Estaduais e Distritais e dos Vereadores. (Parágrafo acrescido pela EC nº 47, de 2005) § 13. O servidor público titular de cargo efetivo poderá ser readaptado para exercício de cargo cujas atribuições e responsabilidades sejam compatíveis com a limitação que tenha 34 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL sofrido em sua capacidade física ou mental, enquanto permanecer nesta condição, desde que possua a habilitação e o nível de escolaridade exigidos para o cargo de destino, mantida a remuneração do cargo de origem. (Parágrafo acrescido pela EC nº 103, de 2019) § 14. A aposentadoria concedida com a utilização de tempo de contribuição decorrente de cargo, emprego ou função pública, inclusive do Regime Geral de Previdência Social, acarretará o rompimento do vínculo que gerou o referido tempo de contribuição. (Parágrafo acrescido pela EC nº 103, de 2019) § 15. É vedada a complementação de aposentadorias de servidores públicos e de pensões por morte a seus dependentes que não seja decorrente do disposto nos 88 14 a 16 do art. 40 ou que não seja prevista em lei que extinga regime próprio de previdência social. (Parágrafo acrescido pela EC nº 103, de 2019) § 16. Os órgãos e entidades da administração pública, individual ou conjuntamente, devem realizar avaliação das políticas públicas, inclusive com divulgação do objeto a ser avaliado e dos resultados alcançados, na forma da lei. (Parágrafo acrescido pela EC nº 109, de 2021)
38;Art. 38 . Ao servidor público da administração direta, autárquica e fundacional, no exercício de mandato eletivo, aplicam-se as seguintes disposições (Caput do artigo com redação dada pela EC nº 19, de 1998) l- tratando-se de mandato eletivo federal, estadual ou distrital, ficará afastado de seu cargo, emprego ou função, Il - investido no mandato de Prefeito, será afastado do cargo, emprego ou função, sendo-lhe facultado optar pela sua remuneração, Ill - investido no mandato de Vereador, havendo compatibilidade de horários, perceberá as vantagens de seu cargo, emprego ou função, sem prejuízo da remuneração do cargo eletivo, e, não havendo compatibilidade, será aplicada a norma do inciso anterior, IV - em qualquer caso que exija o afastamento para o exercício de mandato eletivo, seu tempo de serviço será contado para todos os efeitos legais, exceto para promoção por mereci- mento, V - na hipótese de ser segurado de regime próprio de previdência social, permanecerá filiado a esse regime, no ente federativo de origem. (Inciso com redação dada pela EC nº 103, de 2019) Seção Il - Dos Servidores Públicos (Redação dada pela EC nº 18, de 1998)
39;Art. 39 . A União, os Estados, o Distrito Federal e os Municípios instituirão, no âmbito de sua competência, regime jurídico único e planos de carreira para os servidores da administração pública direta, das autarquias e das fundações públicas. (Vide ADI nº 2.135-4) § 1º A fixação dos padrões de vencimento e dos demais componentes do sistema remune- ratório observará - a natureza, o grau de responsabilidade e a complexidade dos cargos componentes de cada carreira, Il - os requisitos para a investidura, Ill - as peculiaridades dos cargos. (Parágrafo com redação dada pela EC nº 19, de 1998) § 2º A União, os Estados e o Distrito Federal manterão escolas de governo para a formação e o aperfeiçoamento dos servidores públicos, constituindo-se a participação nos cursos um dos requisitos para a promoção na carreira, facultada, para isso, a celebração de convênios ou contratos entre os entes federados. (Parágrafo com redação dada pela EC nº 19, de 1998) § 3º Aplica-se aos servidores ocupantes de cargo público o disposto no art. 7º, IV, VII, VIII, IX, XIL XII, XV, XVI, XVII, XVII, XIX, XX, XXII e XXX, podendo a lei estabelecer requisitos diferenciados de admissão quando a natureza do cargo o exigir. (Parágrafo acrescido pela EC nº 19, de 1998) ART. 40 35 § 4º O membro de Poder, o detentor de mandato eletivo, os Ministros de Estado e os Se- cretários Estaduais e Municipais serão remunerados exclusivamente por subsídio fixado em parcela única, vedado o acréscimo de qualquer gratificação, adicional, abono, prêmio, verba de representação ou outra espécie remuneratória, obedecido, em qualquer caso, o disposto no art. 37, X e XI. (Parágrafo acrescido pela EC nº 19, de 1998) 8 5º Lei da União, dos Estados, do Distrito Federal e dos Municípios poderá estabelecer a relação entre a maior e a menor remuneração dos servidores públicos, obedecido, em qualquer caso, o disposto no art. 37, XI. (Parágrafo acrescido pela EC nº 19, de 1998) § 6º Os Poderes Executivo, Legislativo e Judiciário publicarão anualmente os valores do subsídio e da remuneração dos cargos e empregos públicos. (Parágrafo acrescido pela EC nº 19, de 1998) 8 7º Lei da União, dos Estados, do Distrito Federal e dos Municípios disciplinará a aplica- ção de recursos orçamentários provenientes da economia com despesas correntes em cada órgão, autarquia e fundação, para aplicação no desenvolvimento de programas de qualidade e produtividade, treinamento e desenvolvimento, modernização, reaparelhamento e racio- nalização do serviço público, inclusive sob a forma de adicional ou prêmio de produtividade. (Parágrafo acrescido pela EC nº 19, de 1998) § 8º A remuneração dos servidores públicos organizados em carreira poderá ser fixada nos termos do § 4º. (Parágrafo acrescido pela EC nº 19, de 1998) § 9° É vedada a incorporação de vantagens de caráter temporário ou vinculadas ao exercício de função de confiança ou de cargo em comissão à remuneração do cargo efetivo. (Parágrafo acrescido pela EC nº 103, de 2019)
40;Art. 40 . O regime próprio de previdência social dos servidores titulares de cargos efetivos terá caráter contributivo e solidário, mediante contribuição do respectivo ente federativo, de servidores ativos, de aposentados e de pensionistas, observados critérios que preservem o equilíbrio financeiro e atuarial. (Caput do artigo com redação dada pela EC nº 103, de 2019) 8 1º O servidor abrangido por regime próprio de previdência social será aposentado (Pará- grafo com redação dada pela EC nº 103, de 2019) l- por incapacidade permanente para o trabalho, no cargo em que estiver investido, quando insuscetível de readaptação, hipótese em que será obrigatória a realização de avaliações perió- dicas para verificação da continuidade das condições que ensejaram a concessão da aposen- tadoria, na forma de lei do respectivo ente federativo, (Inciso com redação dada pela EC nº 103, de 2019) Il - compulsoriamente, com proventos proporcionais ao tempo de contribuição, aos 70 (se- tenta) anos de idade, ou aos 75 (setenta e cinco) anos de idade, na forma de lei complementar, (Inciso com redação dada pela EC nº 88, de 2015) Ill - no âmbito da União, aos 62 (sessenta e dois) anos de idade, se mulher, e aos 65 (ses- senta e cinco) anos de idade, se homem, e, no âmbito dos Estados, do Distrito Federal e dos Municípios, na idade mínima estabelecida mediante emenda às respectivas Constituições e Leis Orgânicas, observados o tempo de contribuição e os demais requisitos estabelecidos em lei complementar do respectivo ente federativo. (Inciso com redação dada pela EC nº 103, de 2019) 8 2º Os proventos de aposentadoria não poderão ser inferiores ao valor mínimo a que se refere o 8 2º do art. 201 ou superiores ao limite máximo estabelecido para o Regime Geral de Previdência Social, observado o disposto nos 88 14 a 16. (Parágrafo com redação dada pela EC nº 103, de 2019) 8 3º As regras para cálculo de proventos de aposentadoria serão disciplinadas em lei do respectivo ente federativo. (Parágrafo com redação dada pela EC nº 103, de 2019) § 4º É vedada a adoção de requisitos ou critérios diferenciados para concessão de benefícios em regime próprio de previdência social, ressalvado o disposto nos 88 4º-A, 4º-B, 4º-C e 5º. (Pa- rágrafo com redação dada pela EC nº 103, de 2019) 36 CONSTITUIÇÃO DA REPUBLICA FEDERATIVA DO BRASIL § 4°-A. Poderão ser estabelecidos por lei complementar do respectivo ente federativo idade e tempo de contribuição diferenciados para aposentadoria de servidores com deficiência, previamente submetidos a avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar. (Parágrafo acrescido pela EC nº 103, de 2019) § 4°-B. Poderão ser estabelecidos por lei complementar do respectivo ente federativo idade e tempo de contribuição diferenciados para aposentadoria de ocupantes do cargo de agente penitenciário, de agente socioeducativo ou de policial dos órgãos de que tratam o inciso IV do caput do art. 51, o inciso XIII do caput do art. 52 e os incisos I a IV do caput do art. 144. (Parágrafo acrescido pela EC nº 103, de 2019) 84º-C, Poderão ser estabelecidos por lei complementar do respectivo ente federativo idade e tempo de contribuição diferenciados para aposentadoria de servidores cujas atividades sejam exercidas com efetiva exposição a agentes químicos, físicos e biológicos prejudiciais à saúde, ou associação desses agentes, vedada a caracterização por categoria profissional ou ocupação. (Parágrafo acrescido pela EC nº 103, de 2019) 8 5º Os ocupantes do cargo de professor terão idade mínima reduzida em 5 (cinco) anos em relação às idades decorrentes da aplicação do disposto no inciso Ill do § 1º, desde que com- provem tempo de efetivo exercício das funções de magistério na educação infantil e no ensino fundamental e médio fixado em lei complementar do respectivo ente federativo. (Parágrafo com redação dada pela EC nº 103, de 2019) S 6º Ressalvadas as aposentadorias decorrentes dos cargos acumuláveis na forma desta Constituição, é vedada a percepção de mais de uma aposentadoria à conta de regime próprio de previdência social, aplicando-se outras vedações, regras e condições para a acumulação de benefícios previdenciários estabelecidas no Regime Geral de Previdência Social. (Parágrafo com redação dada pela EC nº 103, de 2019) 8 7º Observado o disposto no § 2º do art. 201, quando se tratar da única fonte de renda formal auferida pelo dependente, o benefício de pensão por morte será concedido nos termos de lei do respectivo ente federativo, a qual tratará de forma diferenciada a hipótese de morte dos servidores de que trata o § 4º-B decorrente de agressão sofrida no exercício ou em razão da função. (Parágrafo com redação dada pela EC nº 103, de 2019) § 8º É assegurado o reajustamento dos benefícios para preservar-lhes, em caráter perma- nente, o valor real, conforme critérios estabelecidos em lei. (Parágrafo com redação dada pela EC nº 41, de 2003) § 9º O tempo de contribuição federal, estadual, distrital ou municipal será contado para fins de aposentadoria, observado o disposto nos 85 9º e 9º-A do art. 201, e o tempo de serviço correspondente será contado para fins de disponibilidade. (Parágrafo com redação dada pela EC nº 103, de 2019) § 10. A lei não poderá estabelecer qualquer forma de contagem de tempo de contribuição fictício. (Parágrafo com redação dada pela EC nº 20, de 1998) § 11. Aplica-se o limite fixado no art. 37, XI, à soma total dos proventos de inatividade, inclu- sive quando decorrentes da acumulação de cargos ou empregos públicos, bem como de outras atividades sujeitas a contribuição para o regime geral de previdência social, e ao montante resultante da adição de proventos de inatividade com remuneração de cargo acumulável na forma desta Constituição, cargo em comissão declarado em lei de livre nomeação e exoneração, e de cargo eletivo. (Parágrafo com redação dada pela EC nº 20, de 1998) § 12. Além do disposto neste artigo, serão observados, em regime próprio de previdência social, no que couber, os requisitos e critérios fixados para o Regime Geral de Previdência Social. (Parágrafo com redação dada pela EC nº 103, de 2019) ART. 40 37 § 13. Aplica-se ao agente público ocupante, exclusivamente, de cargo em comissão decla- rado em lei de livre nomeação e exoneração, de outro cargo temporário, inclusive mandato eletivo, ou de emprego público, o Regime Geral de Previdência Social. (Parágrafo com redação dada pela EC nº 103, de 2019) 8 14. A União, os Estados, o Distrito Federal e os Municípios instituirão, por lei de iniciativa do respectivo Poder Executivo, regime de previdência complementar para servidores públicos ocupantes de cargo efetivo, observado o limite máximo dos benefícios do Regime Geral de Previdência Social para o valor das aposentadorias e das pensões em regime próprio de previ- dência social, ressalvado o disposto no § 16. (Parágrafo com redação dada pela EC nº 103, de 2019) § 15. O regime de previdência complementar de que trata o 8 14 oferecerá plano de bene- fícios somente na modalidade contribuição definida, observará o disposto no art. 202 e será efetivado por intermédio de entidade fechada de previdência complementar ou de entidade aberta de previdência complementar. (Parágrafo com redação dada pela EC nº 103, de 2019) § 16. Somente mediante sua prévia e expressa opção, o disposto nos 88 14 e 15 poderá ser aplicado ao servidor que tiver ingressado no serviço público até a data da publicação do ato de instituição do correspondente regime de previdência complementar. (Parágrafo com redação dada pela EC nº 20, de 1998) § 17. Todos os valores de remuneração considerados para o cálculo do benefício previsto no § 3º serão devidamente atualizados, na forma da lei. (Parágrafo acrescido pela EC nº 41, de 2003) § 18. Incidirá contribuição sobre os proventos de aposentadorias e pensões concedidas pelo regime de que trata este artigo que superem o limite máximo estabelecido para os be- nefícios do regime geral de previdência social de que trata o art. 201, com percentual igual ao estabelecido para os servidores titulares de cargos efetivos. (Parágrafo acrescido pela EC nº 41, de 2003) 8 19. Observados critérios a serem estabelecidos em lei do respectivo ente federativo, o servidor titular de cargo efetivo que tenha completado as exigências para a aposentadoria vo- luntária e que opte por permanecer em atividade poderá fazer jus a um abono de permanência equivalente, no máximo, ao valor da sua contribuição previdenciária, até completar a idade para aposentadoria compulsória. (Parágrafo acrescido pela EC nº 41, de 2003, e com redação dada pela EC nº 103, de 2019) § 20. É vedada a existência de mais de um regime próprio de previdência social e de mais de um órgão ou entidade gestora desse regime em cada ente federativo, abrangidos todos os poderes, órgãos e entidades autárquicas e fundacionais, que serão responsáveis pelo seu financiamento, observados os critérios, os parâmetros e a natureza jurídica definidos na lei complementar de que trata o 8 22. (Parágrafo acrescido pela EC nº 41, de 2003, e com redação dada pela EC nº 103, de 2019) 8 21. (Parágrafo acrescido pela EC nº 47, de 2005, e revogado pela EC nº 103, de 2019) (Vide inciso Il do art. 36 da EC nº 103, de 2019) § 22. Vedada a instituição de novos regimes próprios de previdência social, lei complemen- tar federal estabelecerá, para os que já existam, normas gerais de organização, de funciona- mento e de responsabilidade em sua gestão, dispondo, entre outros aspectos, sobre l- requisitos para sua extinção e consequente migração para o Regime Geral de Previdência Social, Il - modelo de arrecadação, de aplicação e de utilização dos recursos, Ill - fiscalização pela União e controle externo e social, IV - definição de equilíbrio financeiro e atuarial, V - condições para instituição do fundo com finalidade previdenciária de que trata o art. 249 e para vinculação a ele dos recursos provenientes de contribuições e dos bens, direitos e ativos de qualquer natureza, 38 CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL VI - mecanismos de equacionamento do deficit atuarial, VII — estruturação do órgão ou entidade gestora do regime, observados os princípios rela- cionados com governança, controle interno e transparência, VIII - condições e hipóteses para responsabilização daqueles que desempenhem atribui- ções relacionadas, direta ou indiretamente, com a gestão do regime, IX - condições para adesão a consórcio público, X - parâmetros para apuração da base de cálculo e definição de alíquota de contribuições ordinárias e extraordinárias. (Parágrafo acrescido pela EC nº 103, de 2019)
41;Art. 41 . São estáveis após três anos de efetivo exercício os servidores nomeados para cargo de provimento efetivo em virtude de concurso público. (Caput do artigo com redação dada pela EC nº 19, de 1998) 8 1º O servidor público estável só perderá o cargo - em virtude de sentença judicial transitada em julgado, Il - mediante processo administrativo em que lhe seja assegurada ampla defesa, Ill - mediante procedimento de avaliação periódica de desempenho, na forma de lei com- plementar, assegurada ampla defesa. (Parágrafo com redação dada pela EC nº 19, de 1998) § 2º Invalidada por sentença judicial a demissão do servidor estável, será ele reintegrado, e o eventual ocupante da vaga, se estável, reconduzido ao cargo de origem, sem direito a indenização, aproveitado em outro cargo ou posto em disponibilidade com remuneração proporcional ao tempo de serviço. (Parágrafo com redação dada pela EC nº 19, de 1998) § 3º Extinto o cargo ou declarada a sua desnecessidade, o servidor estável ficará em dispo- nibilidade, com remuneração proporcional ao tempo de serviço, até seu adequado aproveita- mento em outro cargo. (Parágrafo com redação dada pela EC nº 19, de 1998) 8 4º Como condição para a aquisição da estabilidade, é obrigatória a avaliação especial de desempenho por comissão instituída para essa finalidade. (Parágrafo acrescido pela EC nº 19, de 1998) Seção III - Dos Militares dos Estados, do Distrito Federal e dos Territórios (Denominação da seção com redação dada pela EC nº 18, de 1998)
42;Art. 42 . Os membros das Polícias Militares e Corpos de Bombeiros Militares, instituições orga- nizadas com base na hierarquia e disciplina, são militares dos Estados, do Distrito Federal e dos Territórios. (Caput do artigo com redação dada pela EC nº 18, de 1998) 8 1º Aplicam-se aos militares dos Estados, do Distrito Federal e dos Territórios, além do que vier a ser fixado em lei, as disposições do art. 14, 8 8º, do art. 40, 8 9º, e do art. 142,88 2º e 3º, cabendo a lei estadual específica dispor sobre as matérias do art. 142, § 3º, inciso X, sendo as patentes dos oficiais conferidas pelos respectivos governadores. (Parágrafo com redação dada pela EC nº 20, de 1998) § 2º Aos pensionistas dos militares dos Estados, do Distrito Federal e dos Territórios aplica-se o que for fixado em lei específica do respectivo ente estatal. (Parágrafo com redação dada pela EC nº 41, de 2003) § 3º Aplica-se aos militares dos Estados, do Distrito Federal e dos Territórios o disposto no art. 37, inciso XVI, com prevalência da atividade militar. (Parágrafo acrescido pela EC nº 101, de 2019) Seção IV - Das Regiões
43;Art. 43 . Para efeitos administrativos, a União poderá articular sua ação em um mesmo com- plexo geoeconômico e social, visando a seu desenvolvimento e à redução das desigualdades regionais. § 1º Lei complementar disporá sobre I- as condições para integração de regiões em desenvolvimento, ART. 44 39 Il - a composição dos organismos regionais que executarão, na forma da lei, os planos re- gionais, integrantes dos planos nacionais de desenvolvimento econômico e social, aprovados juntamente com estes. § 2º Os incentivos regionais compreenderão, além de outros, na forma da lei l- igualdade de tarifas, fretes, seguros e outros itens de custos e preços de responsabilidade do poder público, Il - juros favorecidos para financiamento de atividades prioritárias, Ill - isenções, reduções ou diferimento temporário de tributos federais devidos por pessoas físicas ou jurídicas, IV — prioridade para o aproveitamento econômico e social dos rios e das massas de água represadas ou represáveis nas regiões de baixa renda, sujeitas a secas periódicas. § 3º Nas áreas a que se refere o § 2º, IV, a União incentivará a recuperação de terras áridas e cooperará com os pequenos e médios proprietários rurais para o estabelecimento, em suas gle- bas, de fontes de água e de pequena irrigação. TÍTULO IV - DA ORGANIZAÇÃO DOS PODERES CAPÍTULO - DO PODER LEGISLATIVO Seção - Do Congresso Nacional
44;Art. 44 . O Poder Legislativo é exercido pelo Congresso Nacional, que se compõe da Câmara dos Deputados e do Senado Federal. Parágrafo único. Cada legislatura terá a duração de quatro anos.
45;Art. 45 . A Câmara dos Deputados compõe-se de representantes do povo, eleitos, pelo sistema proporcional, em cada Estado, em cada Território e no Distrito Federal. § 1º O número total de Deputados, bem como a representação por Estado e pelo Distrito Fe- deral, será estabelecido por lei complementar, proporcionalmente à população, procedendo-se aos ajustes necessários, no ano anterior às eleições, para que nenhuma daquelas unidades da Federação tenha menos de oito ou mais de setenta Deputados. 8 2º Cada Território elegerá quatro Deputados.
46;Art. 46 . O Senado Federal compõe-se de representantes dos Estados e do Distrito Federal, eleitos segundo o princípio majoritário. § 1º Cada Estado e o Distrito Federal elegerão três Senadores, com mandato de oito anos. § 2º A representação de cada Estado e do Distrito Federal será renovada de quatro em qua- tro anos, alternadamente, por um e dois terços. § 3º Cada Senador será eleito com dois suplentes.
47;Art. 47 . Salvo disposição constitucional em contrário, as deliberações de cada Casa e de suas comissões serão tomadas por maioria dos votos, presente a maioria absoluta de seus membros. Seção II - Das Atribuições do Congresso Nacional
